feed_type,breast_used,breast_left_time,breast_right_time,bottle_ml,start_time_label,end_time_label
,,0,0,0,2018/06/05 08:56:46,
,,0,0,0,2018/06/05 06:40:00,
Bottle Formula,,0,0,120,2018/06/05 06:00:47,
Bottle Formula,,0,0,80,2018/06/05 02:00:29,
,,0,0,0,2018/06/05 01:43:00,
Bottle Formula,,0,0,35,2018/06/05 01:15:06,
Bottle Formula,,0,0,60,2018/06/05 00:25:48,
,,0,0,0,2018/06/04 22:16:00,
Bottle Formula,,0,0,95,2018/06/04 22:15:59,
Bottle Breast Milk,,0,0,50,2018/06/04 22:00:46,
,,0,0,0,2018/06/04 19:57:00,
Bottle Breast Milk,,0,0,100,2018/06/04 18:15:08,
,,0,0,0,2018/06/04 17:47:32,
Bottle Formula,,0,0,120,2018/06/04 16:35:39,
,,0,0,0,2018/06/04 14:10:00,
Bottle Formula,,0,0,60,2018/06/04 13:30:41,
Bottle Formula,,0,0,60,2018/06/04 12:45:28,
Bottle Breast Milk,,0,0,75,2018/06/04 00:15:56,
,,0,0,0,2018/06/04 11:14:05,
Bottle Formula,,0,0,65,2018/06/04 10:15:15,
Bottle Breast Milk,,0,0,80,2018/06/04 08:45:31,
Bottle Formula,,0,0,65,2018/06/04 08:03:08,
,,0,0,0,2018/06/04 08:01:00,
Bottle Breast Milk,,0,0,50,2018/06/04 04:21:58,
,,0,0,0,2018/06/04 02:39:00,
Bottle Breast Milk,,0,0,60,2018/06/04 02:43:11,
,,0,0,0,2018/06/03 22:38:24,
Bottle Breast Milk,,0,0,95,2018/06/03 22:30:39,
Bottle Breast Milk,,0,0,55,2018/06/03 21:30:50,
Bottle Formula,,0,0,90,2018/06/03 19:30:37,
Bottle Formula,,0,0,60,2018/06/03 19:00:20,
